Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.141, -0.00195422931574, 0.193888664246, 0.134353965521, -136.798248291, -199.621673584, 5102.54785156, -2.56574559212, 7.53397750854
        0.142, -0.00197760597803, 0.193896189332, 0.134328767657, -137.843521118, -199.844100952, 5102.77929688, -2.56345391273, 7.54418420792
        0.143, -0.00200006132945, 0.193904101849, 0.134304344654, -138.94770813, -200.062561035, 5103.01464844, -2.56121659279, 7.55423974991
        0.144, -0.0020213634707, 0.193912371993, 0.134280696511, -140.104202271, -200.277114868, 5103.25292969, -2.55903315544, 7.56414604187
        0.145, -0.00204131100327, 0.193920984864, 0.134257823229, -141.305755615, -200.487869263, 5103.49462891, -2.55690288544,  7.5739030838
        0.146, -0.00205973465927, 0.193929925561, 0.134235724807, -142.544570923, -200.694854736, 5103.74023438, -2.55482530594, 7.58351182938
        0.147, -0.0020764998626, 0.193939164281, 0.134214416146, -143.812530518, -200.898147583, 5103.98876953, -2.55279994011, 7.59297180176
        0.148, -0.00209150649607, 0.193948701024, 0.134193882346, -145.101287842, -201.097824097, 5104.24072266, -2.55082654953, 7.60228347778
        0.149, -0.00210468913428, 0.193958491087, 0.134174123406, -146.40246582, -201.293914795, 5104.49658203, -2.54890465736, 7.61144685745
         0.15, -0.00211601797491, 0.19396853447, 0.134155154228, -147.707794189, -201.48651123, 5104.75537109, -2.54703378677, 7.62046194077
        0.151, -0.00212549604475, 0.193978816271, 0.13413695991, -149.009231567, -201.67565918, 5105.01806641, -2.54521369934, 7.62932825089
        0.152, -0.00213315826841, 0.193989291787, 0.134119555354, -150.299163818, -201.861404419, 5105.28369141, -2.54344391823, 7.63804578781
        0.153, -0.00213907030411, 0.193999961019, 0.134102925658, -151.570419312, -202.043792725, 5105.55273438, -2.54172420502, 7.64661502838
        0.154, -0.00214332458563, 0.194010794163, 0.134087100625, -152.816467285, -202.222915649, 5105.82519531, -2.54005384445, 7.65503644943
        0.155, -0.00214603799395, 0.19402179122, 0.134072050452, -154.031433105, -202.398788452, 5106.10107422, -2.53843283653, 7.66331005096
        0.156, -0.00214734859765, 0.194032922387, 0.134057804942, -155.210220337, -202.571502686, 5106.38037109,  -2.536860466, 7.67143678665
        0.157, -0.0021474128589, 0.194044172764, 0.134044349194, -156.348526001, -202.741073608, 5106.66210938, -2.53533673286, 7.67941761017
        0.158, -0.00214640120976, 0.194055527449, 0.134031683207, -157.442932129, -202.907592773, 5106.94726562, -2.53386092186, 7.68725395203
        0.159, -0.00214449432679, 0.19406697154, 0.134019821882, -158.490890503, -203.071090698, 5107.23535156, -2.53243279457, 7.69494771957
         0.16, -0.00214188033715, 0.194078505039, 0.134008750319, -159.49067688, -203.231643677, 5107.52636719, -2.53105211258, 7.70249986649
        0.161, -0.00213874992914, 0.194090113044, 0.133998483419, -160.441513062, -203.389297485,  5107.8203125, -2.52971816063, 7.70991373062
        0.162, -0.00213529355824, 0.194101780653, 0.133989021182, -161.343383789, -203.544113159,  5108.1171875, -2.52843046188, 7.71719074249
        0.163, 0.0232762806118, 0.194113314152, 0.133980363607, -162.197158813, -203.696136475, 5108.41601562, -2.52718901634, 7.72433376312
        0.164, 0.0713838264346, 0.194598868489, -0.00887846760452, 0.712304651737, -194.010772705, 5493.34716797, 1.83577740192, 8.85782146454
        0.165, 0.0687001720071, 0.192585006356, -0.133752509952, 401.257354736, -183.96647644, 6122.62011719, 6.46611022949, 10.3020133972
        0.166, 0.0633349344134, 0.221728801727, 0.134257644415, 737.935791016, -218.813018799, 6736.46826172, -3.19440364838, 9.95531845093
        0.167, 0.0549856424332, 0.239316776395, 0.135255306959, 1051.57080078, -225.647918701, 7354.37304688, -3.45716643333, 10.7257661819
        0.168, 0.0439381413162, 0.259346216917, 0.136800915003, 1317.01037598, -232.058380127, 7888.10986328, -3.70607995987, 11.3433160782
        0.169, 0.0307534318417, 0.28163638711, 0.139071300626, 1519.57165527, -238.284667969, 8335.33496094, -3.95204520226, 11.8752193451
         0.17, 0.0168846268207, 0.305194944143, 0.142205193639, 1617.08630371, -242.635040283, 8619.50390625, -4.19155454636, 11.9642181396
        0.171, 0.000719716656022, 0.329759001732, 0.146327510476, 1637.91418457, -247.646057129, 8896.99902344, -4.47802448273, 12.1467247009
        0.172, -0.0152013348415, 0.353810548782, 0.151406109333, 1578.87792969, -252.609848022, 9030.59277344, -4.75059604645, 12.4875001907
        0.173, -0.0334449186921, 0.376110345125, 0.157473132014, 1438.67163086, -257.96572876, 9081.35351562, -5.03153419495,  13.006986618
        0.174, -0.0476581975818, 0.396922945976, 0.164520189166, 1197.91223145, -263.509368896, 9025.36914062, -5.30286884308, 13.6946249008
        0.175, -0.0523872300982, 0.329269737005, -0.41733238101, 932.052856445, -168.82472229, 8937.52148438,  24.177696228, 17.6531620026
        0.176, -0.0559074729681, 0.349912494421, -0.410308361053, 651.183105469, -172.596679688, 8840.72851562,   23.59815979, 18.1606864929
        0.177, -0.0581980608404, 0.377370297909, -0.340820789337, 362.660583496, -187.302703857, 8735.65136719, 19.9255943298, 18.2068328857
        0.178, -0.143141001463, 0.436053007841, 0.20192463696, -241.751449585, -287.111450195, 8912.35449219, -6.89649343491, 15.8651685715
        0.179, -0.140241861343, 0.44582092762, 0.212503686547, -945.582092285, -299.287597656, 9307.77539062, -7.61852264404, 16.1152591705
         0.18, -0.135040432215, 0.456254720688, 0.223925426602, -1605.10205078, -310.949890137, 9657.06152344, -8.39125061035, 15.7537660599
        0.181, -0.125863730907, 0.468814224005, 0.236469581723, -2189.38647461, -321.554016113, 9902.62890625, -9.1845703125, 14.9885149002
        0.182, -0.114114291966, 0.482024729252, 0.250188857317, -2684.41772461, -331.772399902, 10113.3378906, -10.0480031967, 14.1067218781
        0.183, -0.100264839828, 0.495633125305, 0.265096008778, -3085.03613281, -341.687591553, 10288.4648438, -10.978140831,  13.286605835
        0.184, -0.0844254717231, 0.509857833385, 0.281070291996, -3390.09545898, -351.360534668, 10426.9628906, -11.9615030289, 12.6362104416
        0.185, -0.0661032050848, 0.523531913757, 0.298486113548, -3617.87768555, -361.90032959,  10615.953125, -13.1058979034, 12.1976356506
        0.186, -0.047980800271, 0.537695288658, 0.317212551832, -3751.20874023, -371.55078125, 10668.9873047, -14.1997919083, 11.9866256714
        0.187, -0.0269623268396, 0.551930725574,  0.3371707201, -3810.39892578, -381.980987549, 10747.6015625, -15.4063034058, 12.0278091431
        0.188, -0.00721142441034, 0.565636694431, 0.358593374491, -3784.45703125, -391.829040527, 10707.8710938, -16.5486488342, 12.3184833527
        0.189, 0.0158342402428, 0.580128610134, 0.381295651197, -3680.31079102, -402.190856934, 10663.3779297, -17.7466907501, 12.8910160065
         0.19, 0.0414881147444, 0.59660589695, 0.405358582735, -3478.83496094, -412.21762085, 10537.4716797, -18.8786449432, 13.7833557129
        0.191, 0.0621490292251,  0.6096996665, 0.430747538805, -3152.8972168, -421.530792236, 10307.2490234, -19.8696155548,  15.061712265
        0.192, 0.07175385952, 0.612573385239, 0.457369416952, -2772.35668945, -430.273406982, 10044.7646484, -20.8126296997, 16.4521408081
        0.193, 0.0798032879829, 0.612497210503, 0.485107690096, -2346.04736328, -438.492004395, 9772.93554688, -21.7309532166, 17.8618679047
        0.194, 0.0861290246248, 0.609632909298, 0.513867735863, -1882.30004883, -446.058868408, 9492.82324219, -22.6133403778, 19.1625976562
        0.195, 0.0906070545316, 0.604196667671, 0.543558061123, -1392.92150879, -452.896789551, 9205.51855469, -23.4488449097, 20.2019691467
        0.196, 0.093162484467, 0.596424221992, 0.574081659317, -892.461975098, -458.980407715, 8912.13378906, -24.2265148163, 20.8412914276
        0.197, 0.093779347837, 0.586559295654, 0.60533285141, -396.764221191, -464.332397461, 8613.80175781, -24.9355792999, 21.0009403229
        0.198, 0.0925036296248, 0.574841558933, 0.63719534874, 70.9710159302, -467.398132324,   8311.671875, -25.5857143402, 20.4912433624
        0.199, 0.0895168185234, 0.561776399612, 0.669811785221, 486.985809326, -465.750244141, 8006.91113281, -26.2081565857, 19.1202297211
